,full_word,pt1,rest
1,आना,आ,ना
2,जाना,जा,ना
3,करना,कर,ना
4,खाना,खा,ना
5,पीना,पी,ना
6,सोना,सो,ना
7,उठना,उठ,ना
8,बैठना,बैठ,ना
9,चलना,चल,ना
10,दौड़ना,दौड़,ना
11,रुकना,रुक,ना
12,हँसना,हँस,ना
13,रोना,रो,ना
14,बोलना,बोल,ना
15,सुनना,सुन,ना
16,देखना,देख,ना
17,पढ़ना,पढ़,ना
18,लिखना,लिख,ना
19,सीखना,सीख,ना
20,सिखाना,सिखा,ना
21,समझना,समझ,ना
22,समझाना,समझा,ना
23,बनाना,बना,ना
24,सजाना,सजा,ना
25,जोड़ना,जोड़,ना
26,खोलना,खोल,ना
27,बंद करना,बंद,करना
28,रखना,रख,ना
29,लेना,ले,ना
30,देना,दे,ना
31,पकाना,पका,ना
32,छीलना,छील,ना
33,धोना,धो,ना
34,पोंछना,पोंछ,ना
35,साफ़ करना,साफ़,करना
36,लगाना,लगा,ना
37,हटाना,हटा,ना
38,फेंकना,फेंक,ना
39,पकड़ना,पकड़,ना
40,छूना,छू,ना
41,सूंघना,सूंघ,ना
42,चखना,चख,ना
43,टहलना,टहल,ना
44,फिरना,फिर,ना
45,खेलना,खेल,ना
46,कूदना,कूद,ना
47,तैरना,तैर,ना
48,उड़ना,उड़,ना
49,नाचना,नाच,ना
50,गाना,गा,ना
51,जगना,जग,ना
52,जागना,जाग,ना
53,सो जाना,सो,जाना
54,जमना,जम,ना
55,पिघलना,पिघल,ना
56,तपना,तप,ना
57,ठंडा होना,ठंडा,होना
58,सूखना,सूख,ना
59,भीगना,भीग,ना
60,फूलना,फूल,ना
61,मुरझाना,मुरझा,ना
62,खिलना,खिल,ना
63,लहराना,लहरा,ना
64,झूमना,झूम,ना
65,हिलना,हिल,ना
66,डोलना,डोल,ना
67,काँपना,काँप,ना
68,थरथराना,थरथरा,ना
69,ऊबना,ऊब,ना
70,मचलना,मचल,ना
71,सुस्ताना,सुस्ता,ना
72,आराम करना,आराम,करना
73,ताकना,ताक,ना
74,झाँकना,झाँक,ना
75,झुकना,झुक,ना
76,मुड़ना,मुड़,ना
77,बदलना,बदल,ना
78,छिपना,छिप,ना
79,लिपटना,लिपट,ना
80,चिपकना,चिपक,ना
81,चमकना,चमक,ना
82,दमकना,दमक,ना
83,जगमगाना,जगमगा,ना
84,टिमटिमाना,टिमटिमा,ना
85,झिलमिलाना,झिलमिला,ना
86,चढ़ना,चढ़,ना
87,उतरना,उतर,ना
88,बढ़ना,बढ़,ना
89,घटना,घट,ना
90,मिलना,मिल,ना
91,बिखरना,बिखर,ना
92,समेटना,समेट,ना
93,लपेटना,लपेट,ना
94,तहाना,तहा,ना
95,भिगोना,भिगो,ना
96,डुबोना,डुबो,ना
97,उभरना,उभर,ना
98,रेंगना,रेंग,ना
99,गिरना,गिर,ना
100,उठाना,उठा,ना
101,खींचना,खींच,ना
102,धकेलना,धकेल,ना
103,सरकना,सरक,ना
104,फिसलना,फिसल,ना
105,लुढ़कना,लुढ़क,ना
106,बजाना,बजा,ना
107,गूंजना,गूंज,ना
108,खनकना,खनक,ना
109,खटकना,खटक,ना
110,बतियाना,बतिया,ना
111,पुकारना,पुकार,ना
112,आवाज़ देना,आवाज़,देना
113,बुलाना,बुला,ना
114,पास आना,पास,आना
115,दूर जाना,दूर,जाना
116,सिकुड़ना,सिकुड़,ना
117,फैलाना,फैला,ना
118,सकुचना,सकुच,ना
119,चमकाना,चमका,ना
120,मांजना,मांज,ना
121,रगड़ना,रगड़,ना
122,छिड़कना,छिड़क,ना
123,डालना,डाल,ना
124,भरना,भर,ना
125,छलकना,छलक,ना
126,उफनना,उफन,ना
127,झरना,झर,ना
128,महकना,महक,ना
129,बहना,बह,ना
130,पसरना,पसर,ना
131,जमाना,जमा,ना
132,बिछाना,बिछा,ना
133,लग जाना,लग,जाना
134,सजना,सज,ना
135,संवरना,संवर,ना
136,निखरना,निखर,ना
137,बसना,बस,ना
138,उजड़ना,उजड़,ना
139,छाँटना,छाँट,ना
140,चुनना,चुन,ना
141,बीनना,बीन,ना
142,छानना,छान,ना
143,फटकना,फटक,ना
144,फूंकना,फूंक,ना
145,फुलाना,फुला,ना
146,फुदकना,फुदक,ना
147,फड़फड़ाना,फड़फड़ा,ना
148,सरसराना,सरसरा,ना
149,फुसफुसाना,फुसफुसा,ना
150,बुदबुदाना,बुदबुदा,ना
151,गुनगुनाना,गुनगुना,ना
152,गिनना,गिन,ना
153,मापना,माप,ना
154,डूबना,डूब,ना
155,उछलना,उछल,ना
156,थपथपाना,थपथपा,ना
157,थपकना,थपक,ना
158,सहलाना,सहला,ना
159,चहचहाना,चहचहा,ना
160,कूकना,कूक,ना
161,फाँदना,फाँद,ना
162,लाँघना,लाँघ,ना
163,मचाना,मचा,ना
164,गरजना,गरज,ना
165,बरसना,बरस,ना
166,छिटकना,छिटक,ना
167,बिलखना,बिलख,ना
168,मुस्कुराना,मुस्कुरा,ना
169,खिलखिलाना,खिलखिला,ना
170,ठुमकना,ठुमक,ना
171,हुलसना,हुलस,ना
172,चहकना,चहक,ना
173,तड़कना,तड़क,ना
174,चटकना,चटक,ना
175,फूटना,फूट,ना
176,चमचमाना,चमचमा,ना
177,कहना,कह,ना
178,बताना,बता,ना
179,जताना,जता,ना
180,दिखाना,दिखा,ना
181,विचारना,विचार,ना
182,घूमना,घूम,ना
183,उछालना,उछाल,ना
184,बरसाना,बरसा,ना
185,चिपकाना,चिपका,ना
186,घूमाना,घूमा,ना
187,रंगना,रंग,ना
188,पकड़ाना,पकड़ा,ना
189,थामना,थाम,ना
190,झपटना,झपट,ना
191,घुलना,घुल,ना
192,सनसनाना,सनसना,ना
193,लुढ़काना,लुढ़का,ना
194,इठलाना,इठला,ना
