sr,full_word,root,rest
0,लुसलुशीत,लुस,लुशीत
1,व्यासंगी,व्यास,ंगी
2,मनमोहक,मन,मोहक
3,निर्वेध,निर्वेध,
4,चालणे,चाल,णे
5,विस्मयकारक,विस्मय,कारक
6,पटणे,पट,णे
7,कोडे,कोड,े
8,अस्त,अस्त,
9,स्मृतिशेष,स्मृति,शेष
10,इच्छा,इच्छ,ा
11,उकळवणे,उकळ,वणे
12,नदीप्रधान,नदी,प्रधान
13,लांबवणे,लांब,वणे
14,उल्लसित,उल्लस,ित
15,क्षण,क्षण,
16,उत्सुक,उत्सु,क
17,पुरणे,पुर,णे
18,लाडिक,लाड,िक
19,अशब्द,शब्द,अ
20,धबधबा,धब,धबा
21,राहण्यासाठीचा,राह,ण्यासाठीचा
22,धुणकणे,धुण,कणे
23,शोभामय,शोभा,मय
24,उठणे,उठ,णे
25,रुळणे,रुळ,णे
26,प्रकाशित,प्रकाश,ित
27,प्राणवंत,प्राण,वंत
28,धड,धड,
29,एखत्यारी,एखत,यारी
30,त्रेसष्टावा,त्रेसष्ट,ावा
31,स्फुल्लिंग,स्फुल्ल,िंग
32,राजकन्या,राज,कन्या
33,साहसी,साहस,ी
34,अभूतपूर्व,भूत,पूर्व
35,दीर्घ,दीर्घ,
36,जुपविणे,जुप,विणे
37,निखळ,निखळ,
38,महाग,मह,ाग
39,अफाट,अफ,ाट
40,कळवळणे,कळवळ,णे
41,स्वच्छ,स्वच्छ,
42,मोहिम,मोहि,म
43,भवन,भव,न
44,पुणेरी,पुणे,री
45,सूत्रीय,सूत्र,ीय
46,अखडणे,अखड,णे
47,महाकाय,मह,ाकाय
48,रंडीबाज,रंडी,बाज
49,कोट्याधीश,कोट्य,आधीश
50,कल्पवृक्ष,कल्प,वृक्ष
51,जखमी,जखम,ी
52,आरोग्यदायक,आरोग्य,दायक
53,विशाल,विशाल,
54,गोंजारणे,गोंजार,णे
55,फांदी,फांद,ी
56,सूर्यमय,सूर्य,मय
57,रुबी,रुब,ी
58,दाखवणे,दाख,वणे
59,लोककथा,लोक,कथा
60,सुंदर,सुंदर,
61,पाकीटमार,पाकीट,मार
62,निर्जल,निर्जल,
63,सुकर,सु,कर
64,शहरी,शहर,ी
65,चांद,चांद,
66,बिनशेपटीचा,शेपटी,बिनचा
67,प्रवेशनीय,प्रवेश,नीय
68,ऐश्वर्यपूर्ण,ऐश्वर्य,पूर्ण
69,उघडणे,उघड,णे
70,गतावधिक,गत,आवधिक
71,उंचावणे,उंच,आवणे
72,उत्सवमय,उत्सव,मय
73,समुद्रकिनारा,समुद्र,किनारा
74,प्रतिगामी,गामी,प्रति
75,रंगीबेरंगी,रंग,ीबेरंगी
76,घडवणे,घड,वणे
77,बसणे,बस,णे
78,मुक्तमंच,मुक्त,मंच
79,धावणे,धाव,णे
80,प्रेरित,प्रेर,ित
81,शौर्यपूर्ण,शौर्य,पूर्ण
82,ओळखणे,ओळख,णे
83,कुत्सिक,कुत्स,िक
84,सूर्य,सूर्य,
85,फेकणे,फेक,णे
86,अधोगतीकारक,गती,अधोकारक
87,आणणे,आण,णे
88,उत्साही,उत्साह,ी
89,शिकवणे,शिक,वणे
90,थांबवणे,थांब,वणे
91,सांभाळणे,सांभाळ,णे
92,पहाट,पहाट,
93,रंगांचा,रंग,ांचा
94,बनणे,बन,णे
95,नासावणे,नासा,वणे
96,मनोहारी,मन,ओहारी
97,सण,सण,
98,दिवा,दिव,ा
99,जलमय,जल,मय
100,कल्पनिक,कल्प,निक
101,फळदार,फळ,दार
102,शुभ्र,शुभ,्र
103,उन्मुक्त,उन्मुक्त,
104,सुमधुर,मधुर,सु
105,कन्या,कन्य,ा
